"Date","NOM1M2"
1959-01-01,147.7
1959-02-01,148.3
1959-03-01,149.4
1959-04-01,150.4
1959-05-01,151.5
1959-06-01,152.9
1959-07-01,153.5
1959-08-01,154.5
1959-09-01,155.7
1959-10-01,156.1
1959-11-01,156.7
1959-12-01,157.9
1960-01-01,158.2
1960-02-01,158.6
1960-03-01,159.6
1960-04-01,160.5
1960-05-01,161.3
1960-06-01,162.8
1960-07-01,164
1960-08-01,165.6
1960-09-01,167.3
1960-10-01,168.6
1960-11-01,170
1960-12-01,171.7
1961-01-01,173
1961-02-01,174.9
1961-03-01,176.4
1961-04-01,177.8
1961-05-01,179.6
1961-06-01,181.4
1961-07-01,182.7
1961-08-01,184.1
1961-09-01,185.8
1961-10-01,187
1961-11-01,188.6
1961-12-01,190.3
1962-01-01,192.2
1962-02-01,194.5
1962-03-01,197.1
1962-04-01,199.1
1962-05-01,200.6
1962-06-01,202.7
1962-07-01,204.4
1962-08-01,206.3
1962-09-01,208.6
1962-10-01,210.5
1962-11-01,212.5
1962-12-01,214.9
1963-01-01,216.9
1963-02-01,219
1963-03-01,221.5
1963-04-01,223.6
1963-05-01,225.7
1963-06-01,228
1963-07-01,229.7
1963-08-01,231.8
1963-09-01,234
1963-10-01,235.8
1963-11-01,237.9
1963-12-01,240
1964-01-01,241.5
1964-02-01,243.3
1964-03-01,245.3
1964-04-01,246.9
1964-05-01,248.9
1964-06-01,251.5
1964-07-01,253.3
1964-08-01,255.6
1964-09-01,258.1
1964-10-01,259.8
1964-11-01,262.1
1964-12-01,264.4
1965-01-01,266.8
1965-02-01,269.5
1965-03-01,271.8
1965-04-01,273.4
1965-05-01,275.4
1965-06-01,277.9
1965-07-01,279.8
1965-08-01,282.1
1965-09-01,284.6
1965-10-01,286.6
1965-11-01,289
1965-12-01,291.3
1966-01-01,292.9
1966-02-01,295
1966-03-01,296.7
1966-04-01,297.5
1966-05-01,298.7
1966-06-01,299.6
1966-07-01,300.5
1966-08-01,301.8
1966-09-01,303.5
1966-10-01,304.6
1966-11-01,305.9
1966-12-01,308.1
1967-01-01,309.7
1967-02-01,312.1
1967-03-01,314.9
1967-04-01,317.9
1967-05-01,321.5
1967-06-01,325
1967-07-01,328.2
1967-08-01,331.1
1967-09-01,334
1967-10-01,336.5
1967-11-01,338.8
